year,address,lat,lng,workers
2013,"Chesterland, OH 44026, USA",41.5222735,-81.33788740000001,15
2013,"Circleville, OH 43113, USA",39.600618,-82.94601329999998,20
2013,"Copley Township, OH, USA",41.0875099,-81.6363869,20
2013,"Dalton, OH 44618, USA",40.7989449,-81.6954067,1
2013,"Hamilton County, OH, USA",39.23554470000001,-84.56414699999998,7
2013,"Hartville, OH 44632, USA",40.9636685,-81.33121949999997,36
2013,"Hilliard, OH, USA",40.0333961,-83.15824509999999,4
2013,"Huron, OH, United States",41.3909111022949,-82.5583877563477,25
2013,"Loudonville, OH 44842, USA",40.63533820000001,-82.23321440000002,3
2013,"Lowell, OH 45744, USA",39.5297958,-81.50623490000002,35
2013,"Madison, OH 44057, USA",41.7711633,-81.049819,40
2013,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,4
2013,"New Carlisle, OH 45344, USA",39.9361699,-84.0254913,81
2013,"Painesville, OH 44077, USA",41.7244885,-81.245657,24
2013,"Perry, OH 44081, USA",41.7603259,-81.14093220000002,138
2013,"Ripley, OH, United States",38.7412109375,-83.842643737793,6
2013,"Russellville, OH 45168, USA",38.8664589,-83.7868687,4
2013,"Sabina, OH 45169, USA",39.4886732,-83.6368659,2
2013,"Valley City, OH, United States",41.23765182495121,-81.929817199707,4
2014,"Akron, OH, USA",41.08144470000001,-81.51900529999998,2
2014,"Ashville, OH 43103, USA",39.7156186,-82.9529584,4
2014,"Avon, OH, USA",41.4517093,-82.0354225,300
2014,"Chardon, OH 44024, USA",41.5786639,-81.2133262,4
2014,"Chesterland, OH 44026, USA",41.5222735,-81.33788740000001,17
2014,"Circleville, OH 43113, USA",39.600618,-82.94601329999998,27
2014,"Dalton, OH 44618, USA",40.7989449,-81.6954067,1
2014,"Hartville, OH 44632, USA",40.9636685,-81.33121949999997,42
2014,"Hilliard, OH, USA",40.0333961,-83.15824509999999,4
2014,"Huron, OH, United States",41.3909111022949,-82.5583877563477,29
2014,"Leipsic, OH, United States",41.0988998413086,-83.9839172363281,16
2014,"Loudonville, OH 44842, USA",40.63533820000001,-82.23321440000002,3
2014,"Lowell, OH 45744, USA",39.5297958,-81.50623490000002,38
2014,"Madison, OH 44057, USA",41.7711633,-81.049819,33
2014,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,4
2014,"Mason, OH, United States",39.356971740722706,-84.29762268066409,6
2014,"New Carlisle, OH 45344, USA",39.9361699,-84.0254913,82
2014,"Oakwood, OH 44146, USA",41.3653325,-81.50789590000002,17
2014,"Otway, OH 45657, USA",38.866462,-83.1874041,6
2014,"Painesville, OH 44077, USA",41.7244885,-81.245657,25
2014,"Perry, OH 44081, USA",41.7603259,-81.14093220000002,123
2014,"Ripley, OH, United States",38.7412109375,-83.842643737793,6
2014,"Russellville, OH 45168, USA",38.8664589,-83.7868687,5
2014,"Sabina, OH 45169, USA",39.4886732,-83.6368659,2
2014,"Tiffin, OH 44883, USA",41.1144992,-83.1779746,42
2014,"Valley City, OH, United States",41.23765182495121,-81.929817199707,7
2015,"Akron, OH, USA",41.08144470000001,-81.51900529999998,3
2015,"Avon, OH, USA",41.4517093,-82.0354225,300
2015,"Chagrin Falls, OH 44022, USA",41.4298516,-81.3910999,3
2015,"Chardon, OH 44024, USA",41.5786639,-81.2133262,6
2015,"Chesterland, OH 44026, USA",41.5222735,-81.33788740000001,16
2015,"Circleville, OH 43113, USA",39.600618,-82.94601329999998,40
